,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,volumen_escalado,etapa
3,2016-06-30,620.3654702738128,632.2529586173425,602.7333619591348,617.2368392944336,583329600.0,0.0,0.0,AZN,0.48605931535535996,Brexit start
4,2016-12-31,652.7595749297977,667.4256065237086,639.4927697213062,653.02880859375,839328300.0,0.0,0.0,AZN,0.700111583672913,Brexit start
5,2017-06-30,675.6510728025722,691.8900212922136,665.9979177137884,681.2822666168213,605481900.0,0.0,0.0,AZN,0.504581870600566,Brexit start
6,2017-12-31,734.3043375760215,747.6868871890252,718.3177488884652,734.2435073852539,542457100.0,0.0,0.0,AZN,0.4518839412741275,Brexit start
19,2016-06-30,612.3679806462169,627.508838192831,592.9053749922778,610.5382289886475,422561800.0,0.0,0.0,HSBC,0.351633975451592,Brexit start
20,2016-12-31,724.3641385242258,740.8756570524988,716.0830681861313,731.9468307495117,303913700.0,0.0,0.0,HSBC,0.25242685081944394,Brexit start
21,2017-06-30,850.8999302747607,863.8797356301404,843.5331171092637,855.4298801422119,250117300.0,1.05,0.0,HSBC,0.20744521049346404,Brexit start
22,2017-12-31,1017.7246227576186,1031.1049155094445,1009.2596081371028,1020.2267875671387,163729000.0,0.0,0.0,HSBC,0.13521198598452208,Brexit start
35,2016-06-30,889.2183747849962,922.2611290925834,861.5698380119899,899.6526031494141,714215470.0,0.0,0.0,SHEL,0.595499001432736,Brexit start
36,2016-12-31,996.022757535197,1014.7547452107503,976.8278951826036,994.8177947998047,565562515.0,0.0,0.0,SHEL,0.4712034397370823,Brexit start
37,2017-06-30,1079.4134815037417,1093.4218674923818,1059.9603096330627,1077.667854309082,421229435.0,0.0,0.0,SHEL,0.35051992389399844,Brexit start
38,2017-12-31,1232.1011212190506,1254.252220480235,1221.032017838505,1241.4646911621094,454462318.0,0.0,0.0,SHEL,0.3783074633966672,Brexit start
51,2016-06-30,576.5542224354467,592.4211353270639,561.5439589852742,578.7009525299072,515317500.0,1.134,0.0,VOD,0.4291912754862502,Brexit start
52,2016-12-31,534.9919743968571,542.5448232657214,524.7018708232667,531.9911632537842,662795400.0,0.504,0.0,VOD,0.5525043197388549,Brexit start
53,2017-06-30,512.1568838301414,521.3285149984433,505.10285023636516,514.6636066436768,587297800.0,1.123,0.0,VOD,0.4893773095918061,Brexit start
54,2017-12-31,586.3754157619958,594.5925077350648,579.8416747284255,588.817928314209,361155300.0,0.564,0.0,VOD,0.3002891810661446,Brexit start
67,2016-06-30,2131.9209041045074,2188.907365001129,2079.4124384398783,2138.611618041992,142129300.0,0.24,0.0,TSCO,0.11715148497424879,Brexit start
68,2016-12-31,1864.7881152967022,1897.8056577687846,1810.346575914926,1848.8070983886719,214495700.0,0.0,0.0,TSCO,0.1776603550191958,Brexit start
69,2017-06-30,1621.8909617645036,1648.425454184397,1567.5569834771973,1599.0810623168945,268959600.0,0.27,0.0,TSCO,0.22320012274622092,Brexit start
70,2017-12-31,1473.823618081981,1522.424797511966,1437.5638973670252,1491.3141593933105,281999200.0,0.0,0.0,TSCO,0.2341031310738162,Brexit start
