,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
0,2014-12-31,26.888994160492658,27.066942072014346,26.61639623895813,26.65425682067871,2698800.0,0.0,0.0,AZN
1,2015-06-30,692.9030211806006,704.9832777454374,678.3912087078984,692.2327079772949,376601600.0,0.95,0.0,AZN
2,2015-12-31,672.1210457891781,686.1248822100171,656.6776287064795,672.678071975708,345759700.0,0.45,2.0,AZN
3,2016-06-30,620.3654702738128,632.2529586173425,602.7333619591348,617.2368392944336,583329600.0,0.0,0.0,AZN
4,2016-12-31,652.7595749297977,667.4256065237086,639.4927697213062,653.02880859375,839328300.0,0.0,0.0,AZN
5,2017-06-30,675.6510728025722,691.8900212922136,665.9979177137884,681.2822666168213,605481900.0,0.0,0.0,AZN
6,2017-12-31,734.3043375760215,747.6868871890252,718.3177488884652,734.2435073852539,542457100.0,0.0,0.0,AZN
7,2018-06-30,813.1686010988649,823.468709687508,799.3835311114331,812.6385173797607,497975700.0,0.0,0.0,AZN
8,2018-12-31,930.0540707472106,949.6464805741842,911.1925103954381,931.6876258850098,548521400.0,0.0,0.0,AZN
9,2019-06-30,896.7412689411999,916.564764327488,879.9629503708408,898.7711486816406,584351300.0,0.0,0.0,AZN
10,2019-12-31,1138.3685073198048,1160.685227353901,1117.92547006566,1143.2144889831543,405510100.0,0.0,0.0,AZN
11,2020-06-30,1202.363645015906,1250.732062896267,1172.0263878561511,1213.2170295715332,583102200.0,0.0,0.0,AZN
12,2020-12-31,1353.9151444529027,1389.3975735528502,1311.6049395804387,1346.7878684997559,931653900.0,0.0,0.0,AZN
13,2021-06-30,1330.4389507195813,1357.5668305748645,1304.2174083625384,1334.9209899902344,1197983900.0,0.0,0.0,AZN
14,2021-12-31,1492.712312903516,1523.8476680358388,1458.8288790679799,1488.4256286621094,942483200.0,0.0,0.0,AZN
15,2022-06-30,1228.2676594589932,1268.1797086354559,1198.7084764746214,1236.430404663086,679886669.0,0.985,0.0,AZN
0,2014-12-31,31.778866749555213,31.819015293511026,31.35059604348336,31.4978141784668,2624900.0,0.0,0.0,HSBC
1,2015-06-30,813.8203278706927,825.7916405380915,800.3029160049467,814.0349521636963,265738000.0,1.5,0.0,HSBC
2,2015-12-31,741.9580531624746,756.1865736795985,724.8378300233261,739.9404220581055,244979100.0,0.0,0.0,HSBC
3,2016-06-30,612.3679806462169,627.508838192831,592.9053749922778,610.5382289886475,422561800.0,0.0,0.0,HSBC
4,2016-12-31,724.3641385242258,740.8756570524988,716.0830681861313,731.9468307495117,303913700.0,0.0,0.0,HSBC
5,2017-06-30,850.8999302747607,863.8797356301404,843.5331171092637,855.4298801422119,250117300.0,1.05,0.0,HSBC
6,2017-12-31,1017.7246227576186,1031.1049155094445,1009.2596081371028,1020.2267875671387,163729000.0,0.0,0.0,HSBC
7,2018-06-30,1072.3827568870631,1089.9420804328024,1054.8468527474872,1073.2342643737793,210919400.0,0.0,0.0,HSBC
8,2018-12-31,996.4205569041752,1010.0920343939333,973.2452096349614,989.0208358764648,255036000.0,0.0,0.0,HSBC
9,2019-06-30,905.278982016139,920.2768053673863,897.2018043270132,909.3517990112305,220278200.0,0.0,0.0,HSBC
10,2019-12-31,932.4202974514452,944.5257294676408,918.5973319976029,931.7331218719482,324167000.0,0.0,0.0,HSBC
11,2020-06-30,710.2147946690664,732.6669559239466,684.9180563516419,704.9198341369629,620269800.0,0.0,0.0,HSBC
12,2020-12-31,556.6829557524568,572.577485626485,542.961409755835,556.5237350463867,410380600.0,0.0,0.0,HSBC
13,2021-06-30,729.2767676493755,747.332219236801,714.9545167466777,731.6558246612549,257658600.0,0.75,0.0,HSBC
14,2021-12-31,709.8750440737201,724.2892339455724,695.6890163364677,710.8624267578125,260648500.0,0.35,0.0,HSBC
15,2022-06-30,662.4710733455584,683.5763480102825,644.5326331572624,665.5342330932617,327675113.0,0.9,0.0,HSBC
0,2014-12-31,44.527094571221504,44.56677252893565,43.826085363320814,44.295631408691406,7313597.0,0.0,0.0,SHEL
1,2015-06-30,1085.762735139991,1104.5163967967217,1056.656565732464,1079.0863990783691,472929529.0,0.94,0.0,SHEL
2,2015-12-31,929.351782281326,957.8041235235669,903.2538115912338,927.103832244873,539097183.0,0.0,0.0,SHEL
3,2016-06-30,889.2183747849962,922.2611290925834,861.5698380119899,899.6526031494141,714215470.0,0.0,0.0,SHEL
4,2016-12-31,996.022757535197,1014.7547452107503,976.8278951826036,994.8177947998047,565562515.0,0.0,0.0,SHEL
5,2017-06-30,1079.4134815037417,1093.4218674923818,1059.9603096330627,1077.667854309082,421229435.0,0.0,0.0,SHEL
6,2017-12-31,1232.1011212190506,1254.252220480235,1221.032017838505,1241.4646911621094,454462318.0,0.0,0.0,SHEL
7,2018-06-30,1447.8817059662356,1478.886935599066,1417.5191135374394,1448.293384552002,463035406.0,0.0,0.0,SHEL
8,2018-12-31,1476.3537050495654,1499.7887037874211,1435.5889666526068,1463.4379692077637,458512554.0,0.0,0.0,SHEL
9,2019-06-30,1373.1699732411514,1398.387425084809,1353.5746429213837,1376.9190673828125,312226922.0,0.0,0.0,SHEL
10,2019-12-31,1441.1017996375338,1456.6596320224671,1411.3433888410677,1430.696922302246,358743905.0,0.0,0.0,SHEL
11,2020-06-30,972.4374351845248,1019.0207561981099,914.9374498463302,954.665843963623,940683796.0,0.32,0.0,SHEL
12,2020-12-31,764.9176265249791,788.3867570359517,737.7638000705654,760.6175231933594,747429965.0,0.333,0.0,SHEL
13,2021-06-30,1002.2543864361833,1037.4434892465933,976.1472247321523,1009.9082450866699,653292367.0,0.347,0.0,SHEL
14,2021-12-31,1098.682507425604,1128.2059212835852,1071.2501634180435,1096.515480041504,648868996.0,0.48,0.0,SHEL
15,2022-06-30,1001.4949989318848,1037.479995727539,975.7871017456055,1013.5350036621094,421780100.0,0.0,0.0,SHEL
0,2014-12-31,22.89903694934013,22.92559232902126,22.48739690550858,22.593626022338867,6718000.0,0.0,0.0,VOD
1,2015-06-30,610.6916953833567,623.0069403341224,598.8393717136373,613.0080795288086,477280200.0,1.185,0.0,VOD
2,2015-12-31,610.6015884590065,620.9522690530563,596.1995669318216,608.7718715667725,478132900.0,0.556,0.0,VOD
3,2016-06-30,576.5542224354467,592.4211353270639,561.5439589852742,578.7009525299072,515317500.0,1.134,0.0,VOD
4,2016-12-31,534.9919743968571,542.5448232657214,524.7018708232667,531.9911632537842,662795400.0,0.504,0.0,VOD
5,2017-06-30,512.1568838301414,521.3285149984433,505.10285023636516,514.6636066436768,587297800.0,1.123,0.0,VOD
6,2017-12-31,586.3754157619958,594.5925077350648,579.8416747284255,588.817928314209,361155300.0,0.564,0.0,VOD
7,2018-06-30,585.2844766748154,591.789051881932,568.5653390328608,578.9422245025635,460171000.0,1.224,0.0,VOD
8,2018-12-31,479.32058012494576,488.8698796786911,465.7730272669489,474.993447303772,948572900.0,0.545,0.0,VOD
9,2019-06-30,376.325237976586,382.99819443160726,367.482201448107,374.4894962310791,574769800.0,0.464,0.0,VOD
10,2019-12-31,445.33589514907146,455.3511484185368,437.7255303529227,448.29162406921387,417248200.0,0.497,0.0,VOD
11,2020-06-30,377.68408734482915,394.714382192388,363.5321420952902,377.9253349304199,493086400.0,0.487,0.0,VOD
12,2020-12-31,365.6287071200857,374.4407099669104,355.46325614371125,363.8572940826416,483300800.0,0.532,0.0,VOD
13,2021-06-30,448.8872390245493,459.1223336762445,438.7431719370152,448.41869735717773,449455500.0,0.549,0.0,VOD
14,2021-12-31,402.8178109329981,410.08500880232987,394.46502288979616,400.76486682891846,577850100.0,0.514,0.0,VOD
15,2022-06-30,334.6499996185303,342.42000007629395,324.3700008392334,332.960000038147,589132940.0,0.0,0.0,VOD
0,2014-12-31,71.07939147949219,72.55433460581823,70.1780408198559,71.07939147949219,2020400.0,0.0,0.0,TSCO
1,2015-06-30,2044.313347715225,2098.15762665365,1996.9678801685884,2054.2080688476562,102088200.0,0.36,0.0,TSCO
2,2015-12-31,2114.1542496748807,2169.8072652430833,2051.885026180618,2113.9847564697266,133976900.0,0.0,0.0,TSCO
3,2016-06-30,2131.9209041045074,2188.907365001129,2079.4124384398783,2138.611618041992,142129300.0,0.24,0.0,TSCO
4,2016-12-31,1864.7881152967022,1897.8056577687846,1810.346575914926,1848.8070983886719,214495700.0,0.0,0.0,TSCO
5,2017-06-30,1621.8909617645036,1648.425454184397,1567.5569834771973,1599.0810623168945,268959600.0,0.27,0.0,TSCO
6,2017-12-31,1473.823618081981,1522.424797511966,1437.5638973670252,1491.3141593933105,281999200.0,0.0,0.0,TSCO
7,2018-06-30,1720.4492144758876,1770.3615984830572,1660.7145668014175,1720.0252799987793,238586300.0,0.31,0.0,TSCO
8,2018-12-31,2225.7126230026565,2294.425458087266,2162.324588735352,2226.8326721191406,192302300.0,0.0,0.0,TSCO
9,2019-06-30,2334.4819366463034,2404.284013638262,2285.5188706650683,2363.7378005981445,163680700.0,0.35,0.0,TSCO
10,2019-12-31,2601.8440735957483,2664.9981024577305,2525.1580162468863,2583.947196960449,170236500.0,0.0,0.0,TSCO
11,2020-06-30,2516.252226519054,2637.963393613055,2437.891897966838,2566.060256958008,214023300.0,0.0,0.0,TSCO
12,2020-12-31,3621.160705876777,3736.3961158061193,3521.254129933895,3621.7552795410156,162080200.0,0.4,0.0,TSCO
13,2021-06-30,4405.671541412252,4541.6494841327485,4270.859712534284,4436.34147644043,145195900.0,0.52,0.0,TSCO
14,2021-12-31,5319.321332160573,5465.7052522901,5198.545924410623,5376.658111572266,97748900.0,0.0,0.0,TSCO
15,2022-06-30,4353.037091475417,4503.51170853985,4209.951032173076,4327.40657043457,96263622.0,0.92,0.0,TSCO
