SHELL,RUSSIA,Date
96.730003,125.870003,2022-01-01
97.120003,127.160004,2022-01-02
96.839996,128.210007,2022-01-03
97.32,128.360001,2022-01-04
98.5,129.639999,2022-01-05
98.599998,129.339996,2022-01-06
99.339996,129.830002,2022-01-07
99.739998,131.399994,2022-01-08
99.129997,129.119995,2022-01-09
98.309998,130.050003,2022-01-10
96.919998,131.100006,2022-01-11
96.419998,129.899994,2022-01-12
102.75,130.050003,2022-01-13
102.82,129.320007,2022-01-14
103.68,129.899994,2022-01-15
104.410004,128.910004,2022-01-16
104.0,128.360001,2022-01-17
104.769997,126.830002,2022-01-18
105.279999,125.620003,2022-01-19
106.18,127.849998,2022-01-20
107.160004,128.479996,2022-01-21
108.010002,127.110001,2022-01-22
107.760002,125.709999,2022-01-23
107.849998,126.370003,2022-01-24
107.779999,126.739998,2022-01-25
108.080002,127.220001,2022-01-26
109.209999,126.400002,2022-01-27
108.339996,127.080002,2022-01-28
109.019997,126.879997,2022-01-29
108.360001,127.120003,2022-01-30
107.849998,127.5,2022-01-31
108.529999,126.510002,2022-02-01
107.68,124.480003,2022-02-02
106.68,124.860001,2022-02-03
106.309998,125.989998,2022-02-04
106.290001,125.769997,2022-02-05
105.5,124.849998,2022-02-06
105.639999,123.769997,2022-02-07
105.620003,122.540001,2022-02-08
106.82,119.220001,2022-02-09
107.510002,121.209999,2022-02-10
107.07,124.32,2022-02-11
105.239998,125.040001,2022-02-12
103.129997,125.580002,2022-02-13
102.529999,127.349998,2022-02-14
107.239998,128.309998,2022-02-15
108.599998,130.699997,2022-02-16
113.489998,130.320007,2022-02-17
114.040001,121.989998,2022-02-18
113.25,125.059998,2022-02-19
112.510002,123.900002,2022-02-20
112.440002,122.120003,2022-02-21
114.0,122.550003,2022-02-22
111.550003,122.269997,2022-02-23
111.550003,121.709999,2022-02-24
112.339996,120.910004,2022-02-25
113.43,117.519997,2022-02-26
111.800003,113.25,2022-02-27
111.800003,112.099998,2022-02-28
112.279999,114.120003,2022-03-01
112.629997,114.5,2022-03-02
112.690002,116.529999,2022-03-03
113.129997,113.330002,2022-03-04
113.510002,109.629997,2022-03-05
114.720001,114.540001,2022-03-06
116.199997,114.010002,2022-03-07
116.75,115.5,2022-03-08
115.720001,116.010002,2022-03-09
117.129997,114.68,2022-03-10
116.779999,111.629997,2022-03-11
117.449997,105.650002,2022-03-12
113.800003,92.0,2022-03-13
116.330002,103.5,2022-03-14
116.279999,105.050003,2022-03-15
117.0,110.019997,2022-03-16
117.309998,111.540001,2022-03-17
113.309998,112.0,2022-03-18
114.099998,107.360001,2022-03-19
113.449997,109.129997,2022-03-20
113.199997,110.040001,2022-03-21
110.529999,108.510002,2022-03-22
111.230003,110.32,2022-03-23
109.550003,109.769997,2022-03-24
108.110001,109.900002,2022-03-25
109.459999,111.760002,2022-03-26
109.699997,114.860001,2022-03-27
108.050003,114.419998,2022-03-28
105.830002,115.440002,2022-03-29
106.550003,113.720001,2022-03-30
104.080002,111.870003,2022-03-31
106.160004,113.660004,2022-04-01
106.599998,112.519997,2022-04-02
108.830002,113.300003,2022-04-03
109.660004,112.370003,2022-04-04
110.010002,114.019997,2022-04-05
111.400002,112.440002,2022-04-06
110.330002,107.860001,2022-04-07
110.949997,108.730003,2022-04-08
111.389999,107.309998,2022-04-09
110.07,107.550003,2022-04-10
110.269997,109.07,2022-04-11
109.029999,109.769997,2022-04-12
108.849998,109.410004,2022-04-13
108.25,108.209999,2022-04-14
109.190002,109.489998,2022-04-15
109.160004,111.440002,2022-04-16
110.599998,110.68,2022-04-17
112.309998,109.559998,2022-04-18
112.489998,110.489998,2022-04-19
113.75,110.529999,2022-04-20
114.980003,110.110001,2022-04-21
115.230003,110.82,2022-04-22
115.650002,113.699997,2022-04-23
115.75,114.099998,2022-04-24
116.68,116.330002,2022-04-25
116.779999,114.919998,2022-04-26
115.639999,113.989998,2022-04-27
115.589996,116.059998,2022-04-28
116.489998,118.269997,2022-04-29
116.199997,119.449997,2022-04-30
116.400002,119.610001,2022-05-01
115.43,120.699997,2022-05-02
114.760002,121.620003,2022-05-03
115.75,120.18,2022-05-04
115.809998,120.620003,2022-05-05
116.470001,120.050003,2022-05-06
117.940002,116.059998,2022-05-07
118.300003,115.209999,2022-05-08
118.599998,115.650002,2022-05-09
118.209999,112.269997,2022-05-10
118.809998,111.0,2022-05-11
118.220001,113.32,2022-05-12
119.709999,115.5,2022-05-13
119.370003,116.760002,2022-05-14
119.730003,118.849998,2022-05-15
119.769997,117.339996,2022-05-16
119.5,117.120003,2022-05-17
120.279999,117.919998,2022-05-18
121.599998,117.599998,2022-05-19
121.599998,117.75,2022-05-20
120.660004,116.860001,2022-05-21
120.620003,116.080002,2022-05-22
127.010002,114.220001,2022-05-23
127.779999,115.110001,2022-05-24
128.160004,117.809998,2022-05-25
128.899994,116.860001,2022-05-26
130.449997,115.080002,2022-05-27
131.220001,115.510002,2022-05-28
131.119995,112.849998,2022-05-29
132.050003,109.790001,2022-05-30
132.75,110.349998,2022-05-31
133.25,108.800003,2022-06-01
134.619995,108.980003,2022-06-02
134.839996,105.809998,2022-06-03
