,año_empresa,min,max,mean
4,2014_VOD,22.593626022338867,22.593626022338867,22.593626022338867
0,2014_AZN,26.65425682067871,26.65425682067871,26.65425682067871
1,2014_HSBC,31.4978141784668,31.4978141784668,31.4978141784668
2,2014_SHEL,44.295631408691406,44.295631408691406,44.295631408691406
3,2014_TSCO,71.07939147949219,71.07939147949219,71.07939147949219
29,2019_VOD,374.4894962310791,448.29162406921387,411.3905601501465
14,2016_VOD,531.9911632537842,578.7009525299072,555.3460578918457
24,2018_VOD,474.993447303772,578.9422245025635,526.9678359031677
19,2017_VOD,514.6636066436768,588.817928314209,551.7407674789429
9,2015_VOD,608.7718715667725,613.0080795288086,610.8899755477905
10,2016_AZN,617.2368392944336,653.02880859375,635.1328239440918
5,2015_AZN,672.678071975708,692.2327079772949,682.4553899765015
11,2016_HSBC,610.5382289886475,731.9468307495117,671.2425298690796
15,2017_AZN,681.2822666168213,734.2435073852539,707.7628870010376
6,2015_HSBC,739.9404220581055,814.0349521636963,776.9876871109009
20,2018_AZN,812.6385173797607,931.6876258850098,872.1630716323853
26,2019_HSBC,909.3517990112305,931.7331218719482,920.5424604415894
12,2016_SHEL,899.6526031494141,994.8177947998047,947.2351989746094
16,2017_HSBC,855.4298801422119,1020.2267875671387,937.8283338546753
21,2018_HSBC,989.0208358764648,1073.2342643737793,1031.127550125122
7,2015_SHEL,927.103832244873,1079.0863990783691,1003.0951156616211
25,2019_AZN,898.7711486816406,1143.2144889831543,1020.9928188323975
17,2017_SHEL,1077.667854309082,1241.4646911621094,1159.5662727355957
27,2019_SHEL,1376.9190673828125,1430.696922302246,1403.8079948425293
22,2018_SHEL,1448.293384552002,1463.4379692077637,1455.8656768798828
18,2017_TSCO,1491.3141593933105,1599.0810623168945,1545.1976108551025
8,2015_TSCO,2054.2080688476562,2113.9847564697266,2084.0964126586914
13,2016_TSCO,1848.8070983886719,2138.611618041992,1993.709358215332
23,2018_TSCO,1720.0252799987793,2226.8326721191406,1973.42897605896
28,2019_TSCO,2363.7378005981445,2583.947196960449,2473.842498779297
